,State,All_Races_13,White_13,Black_13,Native_13,Asian_13,Hawaiian_Other_13,Other_13,Mixed_Race_13,All_Races_14,White_14,Black_14,Native_14,Asian_14,Hawaiian_Other_14,Other_14,Mixed_Race_14,All_Races_15,White_15,Black_15,Native_15,Asian_15,Hawaiian_Other_15,Other_15,Mixed_Race_15,All_Races_16,White_16,Black_16,Native_16,Asian_16,Hawaiian_Other_16,Other_16,Mixed_Race_16,All_Races_17,White_17,Black_17,Native_17,Asian_17,Hawaiian_Other_17,Other_17,Mixed_Race_17
10,Georgia,98.0,60.6,30.7,0.2,3.4,0.0,3.0,2.0,98.0,60.4,30.9,0.3,3.5,0.0,2.9,2.0,97.9,60.2,30.9,0.3,3.6,0.0,2.8,2.1,97.8,59.8,31.2,0.3,3.7,0.0,2.8,2.2,97.7,59.4,31.3,0.3,3.8,0.1,2.8,2.3
11,Hawaii,76.2,25.0,1.8,0.2,38.3,9.8,1.1,23.8,76.4,25.2,1.9,0.2,38.0,10.0,1.1,23.6,76.3,25.4,2.0,0.2,37.7,9.9,1.1,23.7,76.2,25.0,1.8,0.2,38.0,10.2,1.0,23.8,76.2,25.1,1.8,0.2,38.0,10.0,1.0,23.8
12,Idaho,97.5,91.9,0.6,1.3,1.3,0.1,2.3,2.5,97.5,91.8,0.6,1.3,1.4,0.1,2.3,2.5,97.4,91.7,0.6,1.3,1.3,0.1,2.4,2.6,97.4,91.3,0.6,1.3,1.3,0.1,2.7,2.6,97.4,91.0,0.7,1.3,1.4,0.1,2.9,2.6
13,Illinois,97.9,72.5,14.4,0.2,4.7,0.0,6.0,2.1,97.8,72.5,14.4,0.2,4.9,0.0,5.8,2.2,97.8,72.3,14.3,0.2,5.0,0.0,5.8,2.2,97.7,72.1,14.3,0.2,5.1,0.0,5.9,2.3,97.6,71.9,14.3,0.2,5.2,0.0,6.0,2.4
14,Indiana,97.9,84.6,9.1,0.2,1.7,0.0,2.3,2.1,97.8,84.4,9.1,0.2,1.8,0.0,2.3,2.2,97.8,84.2,9.2,0.2,1.9,0.0,2.3,2.2,97.8,84.0,9.2,0.2,2.0,0.0,2.3,2.2,97.7,83.9,9.3,0.2,2.1,0.0,2.2,2.3
15,Iowa,98.1,91.5,3.0,0.3,1.8,0.0,1.4,1.9,98.1,91.4,3.1,0.3,1.9,0.1,1.3,1.9,98.0,91.2,3.2,0.3,2.0,0.1,1.3,2.0,98.0,90.9,3.3,0.3,2.1,0.1,1.3,2.0,98.0,90.6,3.4,0.3,2.3,0.1,1.3,2.0
16,Kansas,96.8,85.4,5.7,0.8,2.5,0.1,2.3,3.2,96.7,85.3,5.8,0.8,2.5,0.1,2.3,3.3,96.7,85.2,5.8,0.8,2.6,0.1,2.2,3.3,96.7,85.2,5.8,0.8,2.7,0.1,2.1,3.3,96.6,84.9,5.8,0.8,2.8,0.1,2.2,3.4
17,Kentucky,98.2,87.9,7.8,0.2,1.2,0.0,1.0,1.8,98.0,87.7,7.9,0.2,1.2,0.0,0.9,2.0,97.9,87.6,7.9,0.2,1.3,0.0,0.9,2.1,97.9,87.5,7.9,0.2,1.3,0.1,0.9,2.1,97.8,87.3,8.0,0.2,1.3,0.1,0.9,2.2
18,Louisiana,98.4,62.9,32.0,0.6,1.6,0.0,1.1,1.6,98.3,62.8,32.1,0.6,1.6,0.0,1.1,1.7,98.2,62.8,32.1,0.6,1.7,0.0,1.0,1.8,98.2,62.6,32.2,0.6,1.7,0.0,1.1,1.8,98.1,62.4,32.2,0.6,1.7,0.0,1.2,1.9
19,Maine,98.2,95.2,1.1,0.6,1.1,0.0,0.3,1.8,98.1,95.1,1.1,0.6,1.1,0.0,0.2,1.9,98.0,95.0,1.1,0.6,1.1,0.0,0.2,2.0,98.0,94.8,1.2,0.6,1.1,0.0,0.2,2.0,97.9,94.6,1.3,0.6,1.1,0.0,0.2,2.1
